condition,n,asr,asr_ci_lo,asr_ci_hi,mean_score,mean_score_ci_lo,mean_score_ci_hi,refusal_rate,mean_lpips,constrained_asr,n_constrained
clean,45,0.9333,0.8444,1.0000,3.8000,3.5333,4.0000,0.0667,,0.9333,45
random_4,45,0.9111,0.8222,0.9778,3.7333,3.4667,3.9333,0.0889,0.0045,0.9111,45
random_8,45,0.9333,0.8444,1.0000,3.8000,3.5333,4.0000,0.0667,0.0236,0.9333,45
fgsm_4,45,0.9333,0.8444,1.0000,3.8000,3.5333,4.0000,0.0667,0.0392,0.9333,45
fgsm_8,45,0.9333,0.8444,1.0000,3.8000,3.5333,4.0000,0.0667,0.1255,,0
pgd_4,45,0.8222,0.7111,0.9333,3.8000,3.6667,3.9111,0.0000,0.0134,0.8222,45
pgd_8,45,0.6889,0.5556,0.8222,3.5778,3.3556,3.7778,0.0222,0.0497,0.6889,45
